job_title,company_name,location,salary,skills,description
ML Engineer,Infosys,Chennai,10 LPA - 20 LPA,"data analysis, excel, tableau","We are hiring a ML Engineer for our Infosys team located in Chennai. Candidate must have experience in: data analysis, excel, tableau."
Python Developer,Google,Mumbai,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a Python Developer for our Google team located in Mumbai. Candidate must have experience in: aws, docker, kubernetes."
Backend Developer,Infosys,Pune,10 LPA - 20 LPA,"html, css, javascript","We are hiring a Backend Developer for our Infosys team located in Pune. Candidate must have experience in: html, css, javascript."
Python Developer,Capgemini,Hyderabad,15 LPA - 30 LPA,"deep learning, pytorch","We are hiring a Python Developer for our Capgemini team located in Hyderabad. Candidate must have experience in: deep learning, pytorch."
Python Developer,Capgemini,Hyderabad,8 LPA - 14 LPA,"java, spring boot","We are hiring a Python Developer for our Capgemini team located in Hyderabad. Candidate must have experience in: java, spring boot."
Python Developer,Tech Mahindra,Mumbai,15 LPA - 30 LPA,"python, sql, pandas","We are hiring a Python Developer for our Tech Mahindra team located in Mumbai. Candidate must have experience in: python, sql, pandas."
ML Engineer,Microsoft,Chennai,4 LPA - 6 LPA,"devops, ci/cd, linux","We are hiring a ML Engineer for our Microsoft team located in Chennai. Candidate must have experience in: devops, ci/cd, linux."
Frontend Developer,Cognizant,Mumbai,10 LPA - 20 LPA,"deep learning, pytorch","We are hiring a Frontend Developer for our Cognizant team located in Mumbai. Candidate must have experience in: deep learning, pytorch."
Frontend Developer,Wipro,Chennai,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a Frontend Developer for our Wipro team located in Chennai. Candidate must have experience in: python, sql, pandas."
ML Engineer,Accenture,Remote,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a ML Engineer for our Accenture team located in Remote. Candidate must have experience in: deep learning, pytorch."
AI Engineer,Tech Mahindra,Remote,3 LPA - 5 LPA,"javascript, react, css","We are hiring a AI Engineer for our Tech Mahindra team located in Remote. Candidate must have experience in: javascript, react, css."
ML Engineer,Capgemini,Chennai,15 LPA - 30 LPA,"data analysis, excel, tableau","We are hiring a ML Engineer for our Capgemini team located in Chennai. Candidate must have experience in: data analysis, excel, tableau."
AI Engineer,Tech Mahindra,Delhi,8 LPA - 14 LPA,"deep learning, pytorch","We are hiring a AI Engineer for our Tech Mahindra team located in Delhi. Candidate must have experience in: deep learning, pytorch."
Cloud Architect,Infosys,Pune,8 LPA - 14 LPA,"html, css, javascript","We are hiring a Cloud Architect for our Infosys team located in Pune. Candidate must have experience in: html, css, javascript."
Cloud Architect,Capgemini,Chennai,15 LPA - 30 LPA,"machine learning, tensorflow, numpy","We are hiring a Cloud Architect for our Capgemini team located in Chennai. Candidate must have experience in: machine learning, tensorflow, numpy."
ML Engineer,Capgemini,Chennai,4 LPA - 6 LPA,"data analysis, excel, tableau","We are hiring a ML Engineer for our Capgemini team located in Chennai. Candidate must have experience in: data analysis, excel, tableau."
Frontend Developer,Microsoft,Mumbai,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a Frontend Developer for our Microsoft team located in Mumbai. Candidate must have experience in: aws, docker, kubernetes."
DevOps Engineer,Tech Mahindra,Bangalore,15 LPA - 30 LPA,"html, css, javascript","We are hiring a DevOps Engineer for our Tech Mahindra team located in Bangalore. Candidate must have experience in: html, css, javascript."
ML Engineer,Accenture,Hyderabad,6 LPA - 10 LPA,"java, spring boot","We are hiring a ML Engineer for our Accenture team located in Hyderabad. Candidate must have experience in: java, spring boot."
Software Engineer,Cognizant,Delhi,15 LPA - 30 LPA,"javascript, react, css","We are hiring a Software Engineer for our Cognizant team located in Delhi. Candidate must have experience in: javascript, react, css."
Software Engineer,Wipro,Mumbai,4 LPA - 6 LPA,"data analysis, excel, tableau","We are hiring a Software Engineer for our Wipro team located in Mumbai. Candidate must have experience in: data analysis, excel, tableau."
Software Engineer,Amazon,Mumbai,10 LPA - 20 LPA,"html, css, javascript","We are hiring a Software Engineer for our Amazon team located in Mumbai. Candidate must have experience in: html, css, javascript."
AI Engineer,Amazon,Remote,6 LPA - 10 LPA,"machine learning, tensorflow, numpy","We are hiring a AI Engineer for our Amazon team located in Remote. Candidate must have experience in: machine learning, tensorflow, numpy."
Frontend Developer,Microsoft,Bangalore,15 LPA - 30 LPA,"html, css, javascript","We are hiring a Frontend Developer for our Microsoft team located in Bangalore. Candidate must have experience in: html, css, javascript."
Data Analyst,Cognizant,Mumbai,6 LPA - 10 LPA,"aws, docker, kubernetes","We are hiring a Data Analyst for our Cognizant team located in Mumbai. Candidate must have experience in: aws, docker, kubernetes."
Software Engineer,Microsoft,Chennai,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a Software Engineer for our Microsoft team located in Chennai. Candidate must have experience in: data analysis, excel, tableau."
Cloud Architect,Microsoft,Chennai,8 LPA - 14 LPA,"javascript, react, css","We are hiring a Cloud Architect for our Microsoft team located in Chennai. Candidate must have experience in: javascript, react, css."
DevOps Engineer,Amazon,Chennai,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a DevOps Engineer for our Amazon team located in Chennai. Candidate must have experience in: aws, docker, kubernetes."
Frontend Developer,Microsoft,Remote,10 LPA - 20 LPA,"data analysis, excel, tableau","We are hiring a Frontend Developer for our Microsoft team located in Remote. Candidate must have experience in: data analysis, excel, tableau."
Cloud Architect,Infosys,Bangalore,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a Cloud Architect for our Infosys team located in Bangalore. Candidate must have experience in: python, sql, pandas."
AI Engineer,TCS,Remote,8 LPA - 14 LPA,"data analysis, excel, tableau","We are hiring a AI Engineer for our TCS team located in Remote. Candidate must have experience in: data analysis, excel, tableau."
DevOps Engineer,Wipro,Mumbai,10 LPA - 20 LPA,"javascript, react, css","We are hiring a DevOps Engineer for our Wipro team located in Mumbai. Candidate must have experience in: javascript, react, css."
Backend Developer,Infosys,Delhi,15 LPA - 30 LPA,"data analysis, excel, tableau","We are hiring a Backend Developer for our Infosys team located in Delhi. Candidate must have experience in: data analysis, excel, tableau."
Software Engineer,Accenture,Bangalore,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a Software Engineer for our Accenture team located in Bangalore. Candidate must have experience in: aws, docker, kubernetes."
Backend Developer,Capgemini,Delhi,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a Backend Developer for our Capgemini team located in Delhi. Candidate must have experience in: python, sql, pandas."
ML Engineer,Infosys,Chennai,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a ML Engineer for our Infosys team located in Chennai. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,Tech Mahindra,Mumbai,3 LPA - 5 LPA,"javascript, react, css","We are hiring a DevOps Engineer for our Tech Mahindra team located in Mumbai. Candidate must have experience in: javascript, react, css."
Cloud Architect,Tech Mahindra,Bangalore,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a Cloud Architect for our Tech Mahindra team located in Bangalore. Candidate must have experience in: aws, docker, kubernetes."
ML Engineer,Google,Hyderabad,10 LPA - 20 LPA,"azure, devops","We are hiring a ML Engineer for our Google team located in Hyderabad. Candidate must have experience in: azure, devops."
Python Developer,Microsoft,Chennai,6 LPA - 10 LPA,"aws, docker, kubernetes","We are hiring a Python Developer for our Microsoft team located in Chennai. Candidate must have experience in: aws, docker, kubernetes."
AI Engineer,Tech Mahindra,Pune,4 LPA - 6 LPA,"machine learning, tensorflow, numpy","We are hiring a AI Engineer for our Tech Mahindra team located in Pune. Candidate must have experience in: machine learning, tensorflow, numpy."
ML Engineer,Capgemini,Remote,10 LPA - 20 LPA,"deep learning, pytorch","We are hiring a ML Engineer for our Capgemini team located in Remote. Candidate must have experience in: deep learning, pytorch."
ML Engineer,Cognizant,Pune,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a ML Engineer for our Cognizant team located in Pune. Candidate must have experience in: aws, docker, kubernetes."
Software Engineer,Microsoft,Mumbai,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a Software Engineer for our Microsoft team located in Mumbai. Candidate must have experience in: deep learning, pytorch."
Backend Developer,Infosys,Chennai,15 LPA - 30 LPA,"deep learning, pytorch","We are hiring a Backend Developer for our Infosys team located in Chennai. Candidate must have experience in: deep learning, pytorch."
AI Engineer,Google,Pune,8 LPA - 14 LPA,"devops, ci/cd, linux","We are hiring a AI Engineer for our Google team located in Pune. Candidate must have experience in: devops, ci/cd, linux."
Data Analyst,Capgemini,Mumbai,15 LPA - 30 LPA,"machine learning, tensorflow, numpy","We are hiring a Data Analyst for our Capgemini team located in Mumbai. Candidate must have experience in: machine learning, tensorflow, numpy."
ML Engineer,Tech Mahindra,Remote,8 LPA - 14 LPA,"devops, ci/cd, linux","We are hiring a ML Engineer for our Tech Mahindra team located in Remote. Candidate must have experience in: devops, ci/cd, linux."
Full Stack Developer,Amazon,Remote,4 LPA - 6 LPA,"machine learning, tensorflow, numpy","We are hiring a Full Stack Developer for our Amazon team located in Remote. Candidate must have experience in: machine learning, tensorflow, numpy."
DevOps Engineer,Accenture,Pune,4 LPA - 6 LPA,"java, spring boot","We are hiring a DevOps Engineer for our Accenture team located in Pune. Candidate must have experience in: java, spring boot."
Python Developer,Cognizant,Hyderabad,10 LPA - 20 LPA,"machine learning, tensorflow, numpy","We are hiring a Python Developer for our Cognizant team located in Hyderabad. Candidate must have experience in: machine learning, tensorflow, numpy."
Full Stack Developer,Wipro,Remote,10 LPA - 20 LPA,"devops, ci/cd, linux","We are hiring a Full Stack Developer for our Wipro team located in Remote. Candidate must have experience in: devops, ci/cd, linux."
Frontend Developer,Microsoft,Pune,6 LPA - 10 LPA,"devops, ci/cd, linux","We are hiring a Frontend Developer for our Microsoft team located in Pune. Candidate must have experience in: devops, ci/cd, linux."
Software Engineer,Infosys,Remote,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a Software Engineer for our Infosys team located in Remote. Candidate must have experience in: python, sql, pandas."
ML Engineer,Microsoft,Remote,8 LPA - 14 LPA,"html, css, javascript","We are hiring a ML Engineer for our Microsoft team located in Remote. Candidate must have experience in: html, css, javascript."
Backend Developer,Microsoft,Hyderabad,10 LPA - 20 LPA,"devops, ci/cd, linux","We are hiring a Backend Developer for our Microsoft team located in Hyderabad. Candidate must have experience in: devops, ci/cd, linux."
Python Developer,Cognizant,Chennai,10 LPA - 20 LPA,"html, css, javascript","We are hiring a Python Developer for our Cognizant team located in Chennai. Candidate must have experience in: html, css, javascript."
Cloud Architect,Infosys,Delhi,15 LPA - 30 LPA,"devops, ci/cd, linux","We are hiring a Cloud Architect for our Infosys team located in Delhi. Candidate must have experience in: devops, ci/cd, linux."
Frontend Developer,Google,Hyderabad,15 LPA - 30 LPA,"data analysis, excel, tableau","We are hiring a Frontend Developer for our Google team located in Hyderabad. Candidate must have experience in: data analysis, excel, tableau."
Python Developer,Infosys,Mumbai,10 LPA - 20 LPA,"java, spring boot","We are hiring a Python Developer for our Infosys team located in Mumbai. Candidate must have experience in: java, spring boot."
Frontend Developer,Wipro,Bangalore,10 LPA - 20 LPA,"machine learning, tensorflow, numpy","We are hiring a Frontend Developer for our Wipro team located in Bangalore. Candidate must have experience in: machine learning, tensorflow, numpy."
Cloud Architect,Amazon,Delhi,8 LPA - 14 LPA,"python, sql, pandas","We are hiring a Cloud Architect for our Amazon team located in Delhi. Candidate must have experience in: python, sql, pandas."
Full Stack Developer,Google,Hyderabad,15 LPA - 30 LPA,"javascript, react, css","We are hiring a Full Stack Developer for our Google team located in Hyderabad. Candidate must have experience in: javascript, react, css."
AI Engineer,Amazon,Remote,3 LPA - 5 LPA,"devops, ci/cd, linux","We are hiring a AI Engineer for our Amazon team located in Remote. Candidate must have experience in: devops, ci/cd, linux."
Data Analyst,Infosys,Bangalore,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a Data Analyst for our Infosys team located in Bangalore. Candidate must have experience in: data analysis, excel, tableau."
Software Engineer,Cognizant,Pune,10 LPA - 20 LPA,"azure, devops","We are hiring a Software Engineer for our Cognizant team located in Pune. Candidate must have experience in: azure, devops."
Software Engineer,Microsoft,Pune,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a Software Engineer for our Microsoft team located in Pune. Candidate must have experience in: aws, docker, kubernetes."
Software Engineer,Infosys,Pune,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a Software Engineer for our Infosys team located in Pune. Candidate must have experience in: deep learning, pytorch."
Data Analyst,Cognizant,Hyderabad,4 LPA - 6 LPA,"python, sql, pandas","We are hiring a Data Analyst for our Cognizant team located in Hyderabad. Candidate must have experience in: python, sql, pandas."
DevOps Engineer,Wipro,Delhi,4 LPA - 6 LPA,"javascript, react, css","We are hiring a DevOps Engineer for our Wipro team located in Delhi. Candidate must have experience in: javascript, react, css."
AI Engineer,Infosys,Remote,10 LPA - 20 LPA,"javascript, react, css","We are hiring a AI Engineer for our Infosys team located in Remote. Candidate must have experience in: javascript, react, css."
ML Engineer,Accenture,Pune,8 LPA - 14 LPA,"azure, devops","We are hiring a ML Engineer for our Accenture team located in Pune. Candidate must have experience in: azure, devops."
Python Developer,Cognizant,Bangalore,8 LPA - 14 LPA,"data analysis, excel, tableau","We are hiring a Python Developer for our Cognizant team located in Bangalore. Candidate must have experience in: data analysis, excel, tableau."
Cloud Architect,Amazon,Remote,4 LPA - 6 LPA,"javascript, react, css","We are hiring a Cloud Architect for our Amazon team located in Remote. Candidate must have experience in: javascript, react, css."
AI Engineer,TCS,Hyderabad,4 LPA - 6 LPA,"python, sql, pandas","We are hiring a AI Engineer for our TCS team located in Hyderabad. Candidate must have experience in: python, sql, pandas."
DevOps Engineer,Accenture,Delhi,4 LPA - 6 LPA,"javascript, react, css","We are hiring a DevOps Engineer for our Accenture team located in Delhi. Candidate must have experience in: javascript, react, css."
ML Engineer,Google,Delhi,10 LPA - 20 LPA,"java, spring boot","We are hiring a ML Engineer for our Google team located in Delhi. Candidate must have experience in: java, spring boot."
Data Analyst,Google,Remote,10 LPA - 20 LPA,"devops, ci/cd, linux","We are hiring a Data Analyst for our Google team located in Remote. Candidate must have experience in: devops, ci/cd, linux."
Data Analyst,Wipro,Mumbai,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Data Analyst for our Wipro team located in Mumbai. Candidate must have experience in: javascript, react, css."
DevOps Engineer,Google,Bangalore,4 LPA - 6 LPA,"devops, ci/cd, linux","We are hiring a DevOps Engineer for our Google team located in Bangalore. Candidate must have experience in: devops, ci/cd, linux."
ML Engineer,TCS,Chennai,15 LPA - 30 LPA,"data analysis, excel, tableau","We are hiring a ML Engineer for our TCS team located in Chennai. Candidate must have experience in: data analysis, excel, tableau."
Cloud Architect,Google,Remote,3 LPA - 5 LPA,"azure, devops","We are hiring a Cloud Architect for our Google team located in Remote. Candidate must have experience in: azure, devops."
Backend Developer,Amazon,Mumbai,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Backend Developer for our Amazon team located in Mumbai. Candidate must have experience in: javascript, react, css."
AI Engineer,Wipro,Chennai,3 LPA - 5 LPA,"html, css, javascript","We are hiring a AI Engineer for our Wipro team located in Chennai. Candidate must have experience in: html, css, javascript."
Backend Developer,Infosys,Chennai,15 LPA - 30 LPA,"deep learning, pytorch","We are hiring a Backend Developer for our Infosys team located in Chennai. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,TCS,Delhi,6 LPA - 10 LPA,"azure, devops","We are hiring a DevOps Engineer for our TCS team located in Delhi. Candidate must have experience in: azure, devops."
Data Analyst,Microsoft,Remote,15 LPA - 30 LPA,"aws, docker, kubernetes","We are hiring a Data Analyst for our Microsoft team located in Remote. Candidate must have experience in: aws, docker, kubernetes."
DevOps Engineer,TCS,Delhi,10 LPA - 20 LPA,"java, spring boot","We are hiring a DevOps Engineer for our TCS team located in Delhi. Candidate must have experience in: java, spring boot."
Cloud Architect,Infosys,Pune,15 LPA - 30 LPA,"java, spring boot","We are hiring a Cloud Architect for our Infosys team located in Pune. Candidate must have experience in: java, spring boot."
ML Engineer,Capgemini,Chennai,3 LPA - 5 LPA,"javascript, react, css","We are hiring a ML Engineer for our Capgemini team located in Chennai. Candidate must have experience in: javascript, react, css."
Cloud Architect,Capgemini,Hyderabad,3 LPA - 5 LPA,"java, spring boot","We are hiring a Cloud Architect for our Capgemini team located in Hyderabad. Candidate must have experience in: java, spring boot."
DevOps Engineer,Amazon,Chennai,10 LPA - 20 LPA,"azure, devops","We are hiring a DevOps Engineer for our Amazon team located in Chennai. Candidate must have experience in: azure, devops."
Full Stack Developer,Capgemini,Remote,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a Full Stack Developer for our Capgemini team located in Remote. Candidate must have experience in: deep learning, pytorch."
Cloud Architect,Cognizant,Delhi,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a Cloud Architect for our Cognizant team located in Delhi. Candidate must have experience in: python, sql, pandas."
Software Engineer,Amazon,Bangalore,15 LPA - 30 LPA,"aws, docker, kubernetes","We are hiring a Software Engineer for our Amazon team located in Bangalore. Candidate must have experience in: aws, docker, kubernetes."
Frontend Developer,Amazon,Delhi,8 LPA - 14 LPA,"html, css, javascript","We are hiring a Frontend Developer for our Amazon team located in Delhi. Candidate must have experience in: html, css, javascript."
AI Engineer,Accenture,Chennai,4 LPA - 6 LPA,"java, spring boot","We are hiring a AI Engineer for our Accenture team located in Chennai. Candidate must have experience in: java, spring boot."
Full Stack Developer,Amazon,Hyderabad,4 LPA - 6 LPA,"python, sql, pandas","We are hiring a Full Stack Developer for our Amazon team located in Hyderabad. Candidate must have experience in: python, sql, pandas."
DevOps Engineer,Infosys,Hyderabad,15 LPA - 30 LPA,"html, css, javascript","We are hiring a DevOps Engineer for our Infosys team located in Hyderabad. Candidate must have experience in: html, css, javascript."
Software Engineer,Microsoft,Pune,4 LPA - 6 LPA,"devops, ci/cd, linux","We are hiring a Software Engineer for our Microsoft team located in Pune. Candidate must have experience in: devops, ci/cd, linux."
Frontend Developer,Capgemini,Pune,10 LPA - 20 LPA,"azure, devops","We are hiring a Frontend Developer for our Capgemini team located in Pune. Candidate must have experience in: azure, devops."
Cloud Architect,Microsoft,Chennai,3 LPA - 5 LPA,"java, spring boot","We are hiring a Cloud Architect for our Microsoft team located in Chennai. Candidate must have experience in: java, spring boot."
ML Engineer,Capgemini,Chennai,10 LPA - 20 LPA,"javascript, react, css","We are hiring a ML Engineer for our Capgemini team located in Chennai. Candidate must have experience in: javascript, react, css."
Full Stack Developer,Accenture,Remote,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a Full Stack Developer for our Accenture team located in Remote. Candidate must have experience in: deep learning, pytorch."
Data Analyst,Tech Mahindra,Delhi,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Data Analyst for our Tech Mahindra team located in Delhi. Candidate must have experience in: javascript, react, css."
Cloud Architect,Accenture,Mumbai,10 LPA - 20 LPA,"azure, devops","We are hiring a Cloud Architect for our Accenture team located in Mumbai. Candidate must have experience in: azure, devops."
DevOps Engineer,Google,Hyderabad,6 LPA - 10 LPA,"devops, ci/cd, linux","We are hiring a DevOps Engineer for our Google team located in Hyderabad. Candidate must have experience in: devops, ci/cd, linux."
ML Engineer,TCS,Remote,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a ML Engineer for our TCS team located in Remote. Candidate must have experience in: deep learning, pytorch."
Data Analyst,Amazon,Remote,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a Data Analyst for our Amazon team located in Remote. Candidate must have experience in: deep learning, pytorch."
ML Engineer,Google,Bangalore,8 LPA - 14 LPA,"java, spring boot","We are hiring a ML Engineer for our Google team located in Bangalore. Candidate must have experience in: java, spring boot."
Python Developer,Google,Bangalore,3 LPA - 5 LPA,"java, spring boot","We are hiring a Python Developer for our Google team located in Bangalore. Candidate must have experience in: java, spring boot."
DevOps Engineer,Amazon,Mumbai,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a DevOps Engineer for our Amazon team located in Mumbai. Candidate must have experience in: deep learning, pytorch."
ML Engineer,Google,Chennai,15 LPA - 30 LPA,"azure, devops","We are hiring a ML Engineer for our Google team located in Chennai. Candidate must have experience in: azure, devops."
ML Engineer,TCS,Bangalore,10 LPA - 20 LPA,"python, sql, pandas","We are hiring a ML Engineer for our TCS team located in Bangalore. Candidate must have experience in: python, sql, pandas."
AI Engineer,Infosys,Hyderabad,4 LPA - 6 LPA,"aws, docker, kubernetes","We are hiring a AI Engineer for our Infosys team located in Hyderabad. Candidate must have experience in: aws, docker, kubernetes."
Cloud Architect,Google,Chennai,3 LPA - 5 LPA,"data analysis, excel, tableau","We are hiring a Cloud Architect for our Google team located in Chennai. Candidate must have experience in: data analysis, excel, tableau."
Full Stack Developer,Tech Mahindra,Pune,4 LPA - 6 LPA,"javascript, react, css","We are hiring a Full Stack Developer for our Tech Mahindra team located in Pune. Candidate must have experience in: javascript, react, css."
Cloud Architect,TCS,Remote,6 LPA - 10 LPA,"azure, devops","We are hiring a Cloud Architect for our TCS team located in Remote. Candidate must have experience in: azure, devops."
Cloud Architect,Accenture,Remote,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a Cloud Architect for our Accenture team located in Remote. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,Microsoft,Chennai,8 LPA - 14 LPA,"java, spring boot","We are hiring a DevOps Engineer for our Microsoft team located in Chennai. Candidate must have experience in: java, spring boot."
AI Engineer,Capgemini,Hyderabad,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a AI Engineer for our Capgemini team located in Hyderabad. Candidate must have experience in: aws, docker, kubernetes."
AI Engineer,Infosys,Chennai,4 LPA - 6 LPA,"machine learning, tensorflow, numpy","We are hiring a AI Engineer for our Infosys team located in Chennai. Candidate must have experience in: machine learning, tensorflow, numpy."
AI Engineer,Accenture,Mumbai,6 LPA - 10 LPA,"devops, ci/cd, linux","We are hiring a AI Engineer for our Accenture team located in Mumbai. Candidate must have experience in: devops, ci/cd, linux."
Software Engineer,Wipro,Chennai,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Software Engineer for our Wipro team located in Chennai. Candidate must have experience in: javascript, react, css."
Software Engineer,Accenture,Chennai,4 LPA - 6 LPA,"python, sql, pandas","We are hiring a Software Engineer for our Accenture team located in Chennai. Candidate must have experience in: python, sql, pandas."
Backend Developer,Wipro,Remote,15 LPA - 30 LPA,"html, css, javascript","We are hiring a Backend Developer for our Wipro team located in Remote. Candidate must have experience in: html, css, javascript."
Full Stack Developer,Accenture,Pune,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a Full Stack Developer for our Accenture team located in Pune. Candidate must have experience in: data analysis, excel, tableau."
Backend Developer,Cognizant,Chennai,4 LPA - 6 LPA,"devops, ci/cd, linux","We are hiring a Backend Developer for our Cognizant team located in Chennai. Candidate must have experience in: devops, ci/cd, linux."
Software Engineer,Amazon,Mumbai,3 LPA - 5 LPA,"devops, ci/cd, linux","We are hiring a Software Engineer for our Amazon team located in Mumbai. Candidate must have experience in: devops, ci/cd, linux."
